Date,Open,High,Low,Close,Volume
2001-08-27,4.04,4.43,3.85,4.17,40631800.0
2001-08-28,4.1,4.34,4.06,4.32,12964779.0
2001-08-29,4.33,4.34,4.23,4.26,5325275.0
2001-08-30,4.25,4.4,4.22,4.35,4801306.0
2001-08-31,4.35,4.41,4.31,4.34,2323148.0
2001-09-03,4.36,4.4,4.32,4.34,2211209.0
2001-09-04,4.34,4.46,4.32,4.39,3700677.0
2001-09-05,4.41,4.44,4.36,4.39,2606695.0
2001-09-06,4.38,4.39,4.28,4.3,2899703.0
2001-09-07,4.28,4.33,4.18,4.18,3155225.0
2001-09-10,4.15,4.32,4.1,4.3,1887889.0
2001-09-11,4.31,4.33,4.24,4.25,1139081.0
2001-09-12,4.14,4.24,4.14,4.22,2504519.0
2001-09-13,4.22,4.25,4.18,4.21,1098668.0
2001-09-14,4.22,4.28,4.2,4.25,767283.0
2001-09-17,4.23,4.25,4.16,4.2,898397.0
2001-09-18,4.21,4.28,4.2,4.25,1077326.0
2001-09-19,4.25,4.33,4.23,4.33,865053.0
2001-09-20,4.32,4.34,4.28,4.29,1117335.0
2001-09-21,4.25,4.29,4.22,4.23,787972.0
2001-09-24,4.23,4.27,4.22,4.23,406860.0
2001-09-25,4.25,4.28,4.23,4.25,348845.0
2001-09-26,4.23,4.28,4.22,4.23,495626.0
2001-09-27,4.23,4.33,4.22,4.3,877804.0
2001-09-28,4.32,4.36,4.28,4.35,1708847.0
2001-10-08,4.34,4.36,4.25,4.29,655217.0
2001-10-09,4.29,4.4,4.29,4.37,955852.0
2001-10-10,4.37,4.39,4.22,4.23,1754869.0
2001-10-11,4.22,4.28,4.18,4.19,1230684.0
2001-10-12,4.21,4.3,3.99,4.22,2001070.0
2001-10-15,4.21,4.22,4.09,4.14,975531.0
2001-10-16,4.12,4.2,4.07,4.08,831991.0
2001-10-17,4.08,4.08,3.97,4.01,1250768.0
2001-10-18,4.01,4.06,3.97,3.99,498346.0
2001-10-19,3.99,4.0,3.87,3.93,1568754.0
2001-10-22,3.9,3.95,3.83,3.84,976065.0
2001-10-23,4.22,4.23,4.1,4.23,4059824.0
2001-10-24,4.31,4.31,4.12,4.2,4068239.0
2001-10-25,4.18,4.2,4.09,4.09,1603686.0
2001-10-26,4.07,4.11,4.03,4.1,900220.0
2001-10-29,4.09,4.18,4.09,4.14,458786.0
2001-10-30,4.13,4.16,4.09,4.1,348417.0
2001-10-31,4.1,4.11,4.08,4.11,476247.0
2001-11-01,4.11,4.18,4.1,4.17,664303.0
2001-11-02,4.14,4.19,4.12,4.14,343520.0
2001-11-05,4.1,4.13,4.07,4.09,369076.0
2001-11-06,4.08,4.14,4.07,4.12,260931.0
2001-11-07,4.1,4.1,3.96,3.97,932538.0
2001-11-08,3.91,3.97,3.87,3.95,740216.0
2001-11-09,3.95,4.04,3.91,4.0,376076.0
2001-11-12,4.03,4.03,3.93,3.94,268333.0
2001-11-13,3.9,3.95,3.89,3.94,267381.0
2001-11-14,3.94,3.99,3.94,3.94,76900.0
2001-11-15,3.94,3.96,3.93,3.95,219345.0
2001-11-16,4.24,4.24,3.98,4.0,995470.0
2001-11-19,4.0,4.11,4.0,4.11,373461.0
2001-11-20,4.13,4.16,4.09,4.15,806908.0
2001-11-21,4.16,4.16,4.09,4.12,511442.0
2001-11-22,4.13,4.14,4.09,4.12,419879.0
2001-11-23,4.1,4.13,4.08,4.1,396090.0
2001-11-26,4.1,4.1,4.04,4.06,310099.0
2001-11-27,4.05,4.11,4.05,4.1,256948.0
2001-11-28,4.11,4.15,4.09,4.11,377362.0
2001-11-29,4.1,4.13,4.08,4.08,304618.0
2001-11-30,4.08,4.16,4.08,4.14,407097.0
2001-12-03,4.14,4.25,4.14,4.24,1603705.0
2001-12-04,4.25,4.25,4.2,4.24,689499.0
2001-12-05,4.34,4.34,4.21,4.22,1502835.0
2001-12-06,4.21,4.25,4.2,4.23,637222.0
2001-12-07,4.23,4.24,4.2,4.2,390820.0
2001-12-10,4.22,4.23,4.19,4.22,416156.0
2001-12-11,4.22,4.22,4.17,4.18,358002.0
2001-12-12,4.17,4.23,4.17,4.19,463267.0
2001-12-13,4.17,4.22,4.13,4.13,354045.0
2001-12-14,4.1,4.16,4.1,4.13,284125.0
2001-12-17,4.12,4.17,4.11,4.14,441389.0
2001-12-18,4.16,4.21,4.11,4.21,482120.0
2001-12-19,4.21,4.28,4.18,4.21,962001.0
2001-12-20,4.21,4.21,4.06,4.07,1136223.0
2001-12-21,4.07,4.22,4.07,4.2,813504.0
2001-12-24,4.22,4.37,4.2,4.27,2725079.0
2001-12-25,4.27,4.3,4.21,4.28,1218260.0
2001-12-26,4.28,4.37,4.23,4.36,1680952.0
2001-12-27,4.36,4.44,4.33,4.37,2328478.0
2001-12-28,4.37,4.41,4.32,4.37,1227932.0
2001-12-31,4.42,4.61,4.39,4.52,5219541.0
2002-01-04,4.54,4.55,4.39,4.4,2910962.0
2002-01-07,4.35,4.4,4.3,4.38,1894295.0
2002-01-08,4.34,4.41,4.28,4.29,1328664.0
2002-01-09,4.28,4.36,4.26,4.32,1060682.0
2002-01-10,4.33,4.38,4.26,4.36,1881555.0
2002-01-11,4.34,4.35,4.22,4.23,1183475.0
2002-01-14,4.18,4.27,4.15,4.23,1871851.0
2002-01-15,4.22,4.34,4.21,4.28,1824741.0
