Date,Open,High,Low,Close,Volume
1998-06-09,3.62,3.71,3.46,3.61,25865000.0
1998-06-10,3.6,3.84,3.59,3.68,10812800.0
1998-06-11,3.67,3.67,3.42,3.44,5337800.0
1998-06-12,3.56,3.62,3.46,3.51,5020500.0
1998-06-15,3.51,3.51,3.29,3.32,3573800.0
1998-06-16,3.28,3.39,3.26,3.35,2602700.0
1998-06-17,3.35,3.36,3.21,3.25,2900400.0
1998-06-18,3.28,3.34,3.24,3.28,1356800.0
1998-06-19,3.3,3.45,3.29,3.38,2339100.0
1998-06-22,3.42,3.5,3.36,3.42,2551500.0
1998-06-23,3.39,3.51,3.33,3.5,2052500.0
1998-06-24,3.5,3.55,3.42,3.47,1454400.0
1998-06-25,3.46,3.49,3.33,3.35,1256000.0
1998-06-26,3.33,3.39,3.31,3.34,1063400.0
1998-06-29,3.33,3.34,3.26,3.29,1195500.0
1998-06-30,3.29,3.35,3.25,3.29,593500.0
1998-07-01,3.41,3.42,3.25,3.26,688600.0
1998-07-02,3.27,3.36,3.25,3.34,809200.0
1998-07-03,3.34,3.34,3.28,3.3,635800.0
1998-07-06,3.29,3.29,3.16,3.17,1181100.0
1998-07-07,3.16,3.2,3.11,3.19,521800.0
1998-07-08,3.2,3.23,3.16,3.18,401500.0
1998-07-09,3.18,3.25,3.15,3.2,387200.0
1998-07-10,3.2,3.29,3.19,3.27,656100.0
1998-07-13,3.26,3.28,3.2,3.22,474700.0
1998-07-14,3.23,3.23,3.15,3.16,708700.0
1998-07-15,3.15,3.21,3.11,3.18,400500.0
1998-07-16,3.2,3.22,3.13,3.16,383200.0
1998-07-17,3.16,3.2,3.15,3.16,434900.0
1998-07-20,3.17,3.17,2.98,3.0,718000.0
1998-07-21,2.98,3.06,2.98,3.05,411300.0
1998-07-22,3.05,3.08,3.0,3.02,508200.0
1998-07-23,3.02,3.11,3.02,3.09,422200.0
1998-07-24,3.09,3.15,3.06,3.11,461400.0
1998-07-27,3.1,3.11,3.03,3.04,329000.0
1998-07-28,3.04,3.14,3.03,3.14,461200.0
1998-07-29,3.13,3.15,3.06,3.09,357800.0
1998-07-30,3.08,3.11,3.06,3.07,270900.0
1998-07-31,3.07,3.12,3.06,3.06,249600.0
1998-08-03,3.03,3.06,3.0,3.01,303300.0
1998-08-04,3.0,3.03,2.94,2.99,480400.0
1998-08-05,2.99,3.05,2.95,3.03,284200.0
1998-08-06,3.0,3.06,2.94,3.02,345100.0
1998-08-07,2.97,2.99,2.88,2.89,694400.0
1998-08-10,2.87,2.87,2.76,2.77,676400.0
1998-08-11,2.75,2.8,2.7,2.7,507400.0
1998-08-12,2.68,2.77,2.61,2.72,672500.0
1998-08-13,2.8,2.8,2.67,2.72,409500.0
1998-08-14,2.71,2.71,2.54,2.57,640100.0
1998-08-17,2.51,2.53,2.31,2.31,839500.0
1998-08-18,2.27,2.43,2.22,2.33,666400.0
1998-08-19,2.35,2.49,2.33,2.46,728700.0
1998-08-20,2.46,2.57,2.4,2.55,1140700.0
1998-08-21,2.56,2.58,2.48,2.57,749900.0
1998-08-24,2.54,2.65,2.51,2.57,863000.0
1998-08-25,2.57,2.58,2.48,2.55,538300.0
1998-08-26,2.51,2.56,2.5,2.51,336900.0
1998-08-27,2.48,2.61,2.46,2.56,757600.0
1998-08-28,2.54,2.6,2.5,2.53,618000.0
1998-08-31,2.51,2.66,2.36,2.63,901900.0
1998-09-01,2.6,2.73,2.55,2.64,1422100.0
1998-09-02,2.64,2.69,2.6,2.65,651400.0
1998-09-03,2.64,2.7,2.63,2.63,434100.0
1998-09-04,2.64,2.69,2.64,2.66,419300.0
1998-09-07,2.67,2.75,2.66,2.74,689600.0
1998-09-08,2.74,2.75,2.67,2.67,784200.0
1998-09-09,2.64,2.74,2.64,2.72,634700.0
1998-09-10,2.74,2.85,2.73,2.81,1248900.0
1998-09-11,2.8,2.84,2.75,2.75,757800.0
1998-09-14,2.75,2.9,2.75,2.88,1158000.0
1998-09-15,2.88,2.88,2.74,2.79,881800.0
1998-09-16,2.78,2.84,2.74,2.81,804900.0
1998-09-17,2.8,2.85,2.67,2.7,974200.0
1998-09-18,2.67,2.73,2.62,2.65,713200.0
1998-09-21,2.63,2.7,2.58,2.69,507100.0
1998-09-22,2.7,2.7,2.65,2.67,355000.0
1998-09-23,2.69,2.76,2.66,2.74,622400.0
1998-09-24,2.77,2.77,2.64,2.64,460700.0
1998-09-25,2.64,2.7,2.62,2.7,435300.0
1998-09-28,2.71,2.78,2.68,2.74,534000.0
1998-09-29,2.74,2.8,2.74,2.75,688900.0
1998-09-30,2.76,2.82,2.76,2.8,695300.0
1998-10-05,2.81,2.95,2.8,2.94,2457000.0
1998-10-06,2.95,2.95,2.84,2.85,1507400.0
1998-10-07,2.83,2.87,2.78,2.78,667100.0
1998-10-08,2.8,2.91,2.8,2.9,756600.0
1998-10-09,2.89,2.92,2.83,2.88,817600.0
1998-10-12,2.9,2.95,2.81,2.92,1007300.0
1998-10-13,2.93,2.99,2.88,2.91,1192100.0
1998-10-14,2.9,2.91,2.85,2.88,444100.0
1998-10-15,2.89,2.92,2.84,2.92,654600.0
1998-10-16,2.93,3.01,2.91,2.91,1296400.0
1998-10-19,2.9,2.94,2.86,2.9,702700.0
1998-10-20,2.91,2.92,2.83,2.86,513100.0
1998-10-21,2.84,2.87,2.73,2.74,701600.0
1998-10-22,2.74,2.77,2.67,2.75,787200.0
